Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9350,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,2005.0,Misc,D3Publisher,0.0,0.0,0.13,0.0,0.13
9867,Medarot 4: Kabuto / Kuwagata Version,GB,2001.0,Role-Playing,Imagineer,0.0,0.0,0.12,0.0,0.12
9793,Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
1798,LEGO Star Wars: The Video Game,GBA,2005.0,Action,Eidos Interactive,0.82,0.3,0.0,0.02,1.14
10829,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
12252,Wings of War,XB,2004.0,Simulation,Take-Two Interactive,0.05,0.01,0.0,0.0,0.06
4421,The Thing,PS2,2002.0,Adventure,Vivendi Games,0.22,0.17,0.0,0.06,0.44
4223,Dance Dance Revolution: Mario Mix,GC,2005.0,Misc,Nintendo,0.36,0.09,0.0,0.01,0.47
11020,Obscure: The Aftermath,PSP,2009.0,Action,Playlogic Game Factory,0.05,0.03,0.0,0.02,0.09
7866,Quake,N64,1998.0,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19
1346,NCAA Football 2003,PS2,2002.0,Sports,Electronic Arts,1.16,0.08,0.0,0.19,1.44
945,"Hey You, Pikachu!",N64,1998.0,Simulation,Nintendo,0.83,0.06,0.93,0.0,1.83
10550,Creeper World 3: Arc Eternal,Wii,2009.0,Strategy,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
14682,Schlag den Raab,PC,2010.0,Misc,Namco Bandai Games,0.0,0.02,0.0,0.01,0.03
8251,Dungeon Siege III,PC,2011.0,Role-Playing,Square Enix,0.08,0.08,0.0,0.02,0.17
13383,Crazy Chicken: Atlantis Quest,DS,2007.0,Platform,Phenomedia,0.04,0.0,0.0,0.0,0.05
13158,The History Channel: Great Battles - Medieval,PS3,,Strategy,Slitherine Software,0.0,0.04,0.0,0.01,0.05
3758,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998.0,Adventure,Sega,0.0,0.0,0.53,0.0,0.53
8264,NHL 2K9,X360,2008.0,Sports,Take-Two Interactive,0.15,0.01,0.0,0.01,0.17
15647,NHL 2K3,GC,2002.0,Sports,Sega,0.01,0.0,0.0,0.0,0.02
1924,Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07
2963,Assassin's Creed IV: Black Flag,PC,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.1,0.69
5116,Madden NFL 11,PSP,2010.0,Sports,Electronic Arts,0.35,0.0,0.0,0.03,0.37
9695,Fire ProWrestling S: 6Men Scramble,SAT,1996.0,Fighting,Human Entertainment,0.0,0.0,0.12,0.0,0.12
848,LEGO Marvel Super Heroes,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2.0
5709,NBA ShootOut,PS,1995.0,Sports,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31
12591,Broken Sword: The Shadow of the Templars,GBA,2002.0,Adventure,BAM! Entertainment,0.04,0.02,0.0,0.0,0.06
1297,Disney Princess: Magical Jewels,DS,2007.0,Adventure,Disney Interactive Studios,1.15,0.2,0.0,0.12,1.47
7843,SpongeBob's Surf & Skate Roadtrip,X360,2011.0,Action,THQ,0.15,0.03,0.0,0.01,0.19
2513,Street Fighter V,PS4,2016.0,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
15291,Military History: Commander - Europe at War,PSP,2009.0,Strategy,Slitherine Software,0.0,0.01,0.0,0.01,0.02
8135,Dynasty Warriors: Gundam 3,X360,2010.0,Action,Tecmo Koei,0.11,0.04,0.02,0.01,0.18
10405,Petz Fashion: Dogz & Catz,DS,2009.0,Simulation,Ubisoft,0.1,0.0,0.0,0.01,0.11
11367,ShellShock 2: Blood Trails,PS3,2009.0,Shooter,Eidos Interactive,0.04,0.03,0.0,0.01,0.08
5959,Imagine: Makeup Artist,DS,2020.0,Simulation,Ubisoft,0.27,0.0,0.0,0.02,0.29
142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
4845,Rampage: Total Destruction,GC,2006.0,Action,Midway Games,0.31,0.08,0.0,0.01,0.4
2293,DJ Hero,PS3,2009.0,Misc,Activision,0.42,0.34,0.0,0.14,0.91
13603,NASCAR 07,XB,2006.0,Racing,Electronic Arts,0.03,0.01,0.0,0.0,0.04
7237,NBA Jam Extreme,PS,1996.0,Sports,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22
8600,The Crew,PC,2014.0,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16
11736,Backyard NBA Basketball,DS,2007.0,Sports,Atari,0.07,0.0,0.0,0.01,0.07
16430,Virtua Quest,GC,,Role-Playing,Unknown,0.01,0.0,0.0,0.0,0.01
15037,PDC World Championship Darts: Pro Tour,X360,2010.0,Sports,O-Games,0.0,0.02,0.0,0.0,0.02
14030,World in Conflict: Complete Edition,PC,2009.0,Strategy,Ubisoft,0.0,0.03,0.0,0.01,0.04
11077,Samurai Warriors 4: Empires,PS4,2015.0,Action,Tecmo Koei,0.02,0.01,0.05,0.01,0.09
6949,Lunar Knights,DS,2006.0,Role-Playing,Konami Digital Entertainment,0.17,0.01,0.04,0.02,0.24
8893,Major League Baseball 2K13,PS3,2013.0,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15
9809,Showdown: Legends of Wrestling,XB,2004.0,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.12
12643,The History Channel: Battle for the Pacific,X360,2007.0,Shooter,Activision,0.05,0.0,0.0,0.0,0.06
5624,The Biggest Loser,DS,2009.0,Sports,THQ,0.18,0.11,0.0,0.03,0.32
4344,NHL 2005,PS2,2004.0,Sports,Electronic Arts,0.22,0.17,0.0,0.06,0.45
14890,The Peanuts Movie: Snoopy's Grand Adventure,X360,2015.0,Action,Activision,0.0,0.02,0.0,0.0,0.03
1376,Metroid: Other M,Wii,2010.0,Action,Nintendo,0.87,0.31,0.13,0.1,1.41
2320,Fossil Fighters,DS,2008.0,Role-Playing,Nintendo,0.84,0.0,0.0,0.06,0.9
15586,Bomberman 2,DS,2008.0,Puzzle,Hudson Soft,0.0,0.01,0.0,0.0,0.02
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
10393,BlazBlue: Chrono Phantasma,PSV,2014.0,Fighting,Arc System Works,0.06,0.0,0.03,0.02,0.11
14719,Pro Cast Sports Fishing,XB,2003.0,Sports,Capcom,0.02,0.01,0.0,0.0,0.03
11260,Chameleon,PSP,2006.0,Puzzle,505 Games,0.07,0.0,0.0,0.01,0.08
6507,The Elder Scrolls IV: Oblivion,PC,2006.0,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.05,0.26
11087,Remington Super Slam Hunting: Alaska,Wii,2011.0,Sports,Mastiff,0.08,0.0,0.0,0.01,0.09
14799,Guild Wars,PC,2005.0,Role-Playing,NCSoft,0.02,0.0,0.0,0.0,0.03
4750,Buzz! Junior: Jungle Party,PS2,2006.0,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
11105,Mad Dog McCree: Gunslinger Pack,Wii,2009.0,Shooter,Majesco Entertainment,0.08,0.0,0.0,0.01,0.09
2985,Rayman Legends,WiiU,2013.0,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68
1500,LEGO Batman: The Videogame,PSP,,Action,Warner Bros. Interactive Entertainment,0.57,0.46,0.0,0.28,1.32
9517,Backyard Sports Football: Rookie Rush,Wii,2010.0,Sports,Atari,0.12,0.0,0.0,0.01,0.13
9067,Record of Agarest War 2,PS3,2010.0,Role-Playing,Compile Heart,0.09,0.0,0.04,0.01,0.14
15829,Exhibition Volume 6,XB,2004.0,Misc,Microsoft Game Studios,0.01,0.0,0.0,0.0,0.02
15928,Professional Farmer 2016,PS4,2015.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.02
14288,Disney's Hide & Sneak,GC,2003.0,Action,Capcom,0.03,0.01,0.0,0.0,0.03
6297,Pac-Pix,DS,2005.0,Puzzle,Namco Bandai Games,0.16,0.0,0.1,0.01,0.27
14851,My DoItAll,DS,2009.0,Misc,Tomy Corporation,0.02,0.0,0.0,0.0,0.03
3262,FIFA Soccer,PSV,2012.0,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62
4240,Rygar: The Legendary Adventure,PS2,2002.0,Action,Wanadoo,0.2,0.15,0.06,0.05,0.46
4471,Super Breakout,2600,,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44
15061,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,PS2,2007.0,Adventure,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
4751,Mortal Kombat: Deadly Alliance,GC,2002.0,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41
5989,WinBack: Covert Operations,PS2,2000.0,Shooter,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.29
1059,SOCOM 3: U.S. Navy SEALs,PS2,2005.0,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69
5759,Bass Hunter 64,N64,1999.0,Sports,Take-Two Interactive,0.25,0.06,0.0,0.0,0.31
14554,Let's Dance with Mel B,PS3,2011.0,Sports,Black Bean Games,0.0,0.02,0.0,0.01,0.03
3378,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014.0,Action,Disney Interactive Studios,0.26,0.24,0.0,0.1,0.6
15145,428: Fuusa Sareta Shibuya de,PS3,2009.0,Adventure,Spike,0.0,0.0,0.02,0.0,0.02
15322,Wakeboarding Unleashed Featuring Shaun Murray,GBA,2003.0,Sports,Aspyr,0.01,0.01,0.0,0.0,0.02
16497,Legends of Oz: Dorothy's Return,3DS,2014.0,Puzzle,,0.0,0.01,0.0,0.0,0.01
16091,Hiiro no Kakera: Shin Tamayori Hime Denshou,PS2,2009.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01
11966,Silent Hill: Origins,PS2,2008.0,Action,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07
13207,SD Gundam: Scad Hammers,Wii,2006.0,Strategy,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
12283,Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003.0,Action,Capcom,0.05,0.02,0.0,0.0,0.06
7929,Daigasso! Band Brothers,DS,2004.0,Misc,Nintendo,0.0,0.0,0.19,0.0,0.19
9415,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
6564,Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.18,0.07,0.0,0.0,0.26
15207,Turbo: Super Stunt Squad,PS3,2013.0,Sports,D3Publisher,0.0,0.02,0.0,0.0,0.02
8141,Chuck E. Cheese's Party Games,DS,2010.0,Misc,UFO Interactive,0.17,0.0,0.0,0.01,0.18
6042,Disney Infinity,3DS,2013.0,Action,Disney Interactive Studios,0.16,0.1,0.0,0.02,0.29
5847,Burnout,GC,2002.0,Racing,Acclaim Entertainment,0.23,0.06,0.0,0.01,0.3
14619,New Tokyo Legacy: Operation Babel,PSV,2015.0,Role-Playing,5pb,0.0,0.0,0.03,0.0,0.03
7598,Body and Brain Connection,X360,2010.0,Misc,Namco Bandai Games,0.1,0.08,0.0,0.02,0.2
16325,Binary Star,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01
15891,Worldwide Soccer Manager 2006,PC,2004.0,Sports,Sega,0.0,0.01,0.0,0.0,0.02
10690,Petz Hamsterz Superstarz,DS,2009.0,Simulation,Ubisoft,0.09,0.0,0.0,0.01,0.1
5731,Homefront: The Revolution,PS4,2016.0,Shooter,Deep Silver,0.05,0.19,0.03,0.04,0.31
7758,Petz Pony: Beauty Pageant,DS,2009.0,Simulation,Ubisoft,0.18,0.0,0.0,0.01,0.19
5302,Hannah Montana: The Movie,Wii,2009.0,Adventure,Disney Interactive Studios,0.13,0.18,0.0,0.04,0.35
550,L.A. Noire,X360,2011.0,Adventure,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72
8298,Backyard Baseball '10,PS2,2009.0,Sports,Atari,0.08,0.07,0.0,0.02,0.17
15147,Overlord,PC,2007.0,Strategy,Codemasters,0.0,0.02,0.0,0.0,0.02
12510,Penny Racers,N64,1998.0,Racing,THQ,0.05,0.01,0.0,0.0,0.06
5995,NBA Live 06,X360,2005.0,Sports,Electronic Arts,0.27,0.0,0.0,0.02,0.29
14669,Ride,PC,2015.0,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03
2268,MLB 12: The Show,PS3,2012.0,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92
14209,Crazy Chicken: Star Karts,DS,2008.0,Racing,Phenomedia,0.03,0.0,0.0,0.0,0.03
7217,Imagine: Boutique Owner,DS,2009.0,Simulation,Ubisoft,0.2,0.0,0.0,0.02,0.22
11203,Knights in the Nightmare,PSP,2010.0,Role-Playing,Atlus,0.06,0.0,0.02,0.01,0.09
7392,Champion Jockey: G1 Jockey & Gallop Racer,PS3,2011.0,Sports,Tecmo Koei,0.06,0.05,0.08,0.02,0.21
15538,Ginga Fukei Densetsu: Sapphire,TG16,1995.0,Shooter,Hudson Soft,0.0,0.0,0.02,0.0,0.02
11414,10 Minute Solution,Wii,2010.0,Sports,Activision,0.06,0.01,0.0,0.01,0.08
6726,Yakuza Zero: The Place of Oath,PS3,2015.0,Action,Sega,0.0,0.0,0.25,0.0,0.25
3335,New Play Control! Pikmin 2,Wii,2009.0,Strategy,Nintendo,0.11,0.14,0.33,0.02,0.6
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
1756,Test Drive: Off Road,PS,1997.0,Racing,Eidos Interactive,0.65,0.44,0.0,0.08,1.16
3245,Wild ARMs 3,PS2,2002.0,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62
1944,Darksiders,X360,2010.0,Action,THQ,0.67,0.29,0.01,0.1,1.06
5033,Grandia Xtreme,PS2,2002.0,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38
3733,Rune Factory 2: A Fantasy Harvest Moon,DS,2008.0,Role-Playing,Rising Star Games,0.33,0.03,0.15,0.03,0.54
8755,Metal Gear Solid V: Ground Zeroes,X360,2014.0,Action,Konami Digital Entertainment,0.07,0.06,0.01,0.01,0.15
524,Imagine: Fashion Designer,DS,2007.0,Simulation,Ubisoft,1.32,1.19,0.0,0.3,2.81
13228,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,3DS,2015.0,Action,Alchemist,0.0,0.0,0.05,0.0,0.05
13547,Go Go Ackman 3,SNES,1995.0,Platform,Banpresto,0.0,0.0,0.04,0.0,0.04
3529,Petz Wild Animals: Tigerz,DS,2008.0,Simulation,Ubisoft,0.52,0.01,0.0,0.04,0.57
9003,Deception IV: Blood Ties,PSV,2014.0,Action,Tecmo Koei,0.03,0.03,0.07,0.02,0.14
5250,Harry Potter and the Chamber of Secrets,XB,2002.0,Action,Electronic Arts,0.27,0.08,0.0,0.01,0.36
14614,Race Driver 2006,PSP,2006.0,Racing,Codemasters,0.03,0.0,0.0,0.0,0.03
12874,Carve,XB,2004.0,Racing,Global Star,0.04,0.01,0.0,0.0,0.05
11740,Gale Racer,SAT,1994.0,Racing,Sega,0.0,0.0,0.07,0.0,0.07
2993,Doom (2016),XOne,2016.0,Shooter,Bethesda Softworks,0.39,0.23,0.0,0.06,0.68
15003,Wangan Midnight Portable,PSP,2007.0,Racing,Genki,0.0,0.0,0.02,0.0,0.02
15857,Germany's Next Topmodel 2011,DS,2011.0,Simulation,7G//AMES,0.0,0.01,0.0,0.0,0.02
10338,Victory Zone,PS,1995.0,Misc,Sony Computer Entertainment,0.0,0.0,0.1,0.01,0.11
3224,Sonic & All-Stars Racing Transformed,X360,2012.0,Racing,Sega,0.2,0.37,0.0,0.06,0.63
9967,de Blob 2,DS,2011.0,Platform,THQ,0.09,0.02,0.0,0.01,0.12
7910,Pet Zombies,3DS,,Simulation,Majesco Entertainment,0.18,0.0,0.0,0.01,0.19
14095,Castlevania Bloodlines,GEN,1994.0,Platform,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
14735,My Animal Centre,Wii,2009.0,Simulation,Deep Silver,0.0,0.02,0.0,0.0,0.03
13827,Castlevania: Lords of Shadow 2,PC,2014.0,Action,Konami Digital Entertainment,0.01,0.03,0.0,0.0,0.04
8241,Rapala Fishing Frenzy 2009,PS3,2008.0,Sports,Activision,0.16,0.0,0.0,0.01,0.17
7414,Monopoly,N64,1999.0,Misc,Hasbro Interactive,0.17,0.04,0.0,0.0,0.21
13671,WTF: Work Time Fun,PSP,2005.0,Puzzle,Sony Computer Entertainment,0.04,0.0,0.0,0.0,0.04
7908,Jewel Master: Cradle of Athena,DS,2010.0,Puzzle,Storm City Games,0.18,0.0,0.0,0.01,0.19
10717,Lord of Apocalypse,PSP,2011.0,Role-Playing,Square Enix,0.0,0.0,0.1,0.0,0.1
3033,Wild ARMs 2,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67
4101,Dark Sector,X360,2008.0,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48
9105,Sumikko Gurashi: Omise Hajimerundesu,3DS,2015.0,Action,Nippon Columbia,0.0,0.0,0.14,0.0,0.14
3712,Minecraft: Story Mode,XOne,2015.0,Adventure,Mojang,0.29,0.21,0.0,0.05,0.54
16250,Ultraman Fighting Evolution 0,PSP,2006.0,Fighting,Banpresto,0.0,0.0,0.01,0.0,0.01
10310,Starsky & Hutch,GC,2003.0,Racing,BAM! Entertainment,0.08,0.02,0.0,0.0,0.11
14942,Serious Sam Advance,GBA,2004.0,Shooter,Global Star,0.02,0.01,0.0,0.0,0.02
11989,Mia Hamm Soccer 64,N64,2000.0,Sports,THQ,0.06,0.01,0.0,0.0,0.07
13808,Resident Evil: Revelations,PC,2013.0,Action,Capcom,0.0,0.03,0.0,0.01,0.04
12026,IA/VT Colorful,PSV,2015.0,Misc,Marvelous Entertainment,0.0,0.0,0.07,0.0,0.07
12789,The King of Fighters '96,NG,1996.0,Fighting,SNK,0.0,0.0,0.06,0.0,0.06
12722,Samurai Jack: The Shadow of Aku,PS2,2004.0,Action,Sega,0.03,0.02,0.0,0.01,0.06
15961,Drone Tactics,DS,2007.0,Strategy,Success,0.01,0.0,0.0,0.0,0.02
6212,Danganronpa Another Episode: Ultra Despair Girls,PSV,2014.0,Action,Nippon Ichi Software,0.1,0.03,0.12,0.04,0.28
4067,F1 2014,PS3,2014.0,Racing,Codemasters,0.07,0.31,0.02,0.08,0.49
7520,My Fitness Coach 2: Exercise and Nutrition,Wii,2009.0,Sports,Black Bean Games,0.14,0.04,0.0,0.02,0.2
899,Red Faction,PS2,2001.0,Shooter,THQ,0.76,0.96,0.0,0.2,1.92
6187,Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004.0,Fighting,Eidos Interactive,0.14,0.11,0.0,0.04,0.28
1737,Destruction Derby 2,PS,1996.0,Racing,Psygnosis,0.65,0.44,0.0,0.08,1.17
6362,Rock Revolution,X360,2008.0,Misc,Konami Digital Entertainment,0.25,0.0,0.0,0.02,0.27
3190,F1 2013,PS3,2013.0,Racing,Codemasters,0.01,0.45,0.03,0.15,0.63
6925,Onechanbara Z2: Chaos,PS4,2014.0,Action,Nippon Ichi Software,0.13,0.02,0.04,0.04,0.24
6464,NCAA Gamebreaker,PS,1996.0,Sports,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.26
11169,Lego Star Wars: The Force Awakens,WiiU,2016.0,Action,Warner Bros. Interactive Entertainment,0.04,0.04,0.0,0.01,0.09
6668,Billy Hatcher and the Giant Egg,GC,2003.0,Platform,Sega,0.19,0.05,0.0,0.01,0.25
631,Final Fantasy Tactics,PS,1997.0,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
16094,Grooverider: Slot Car Thunder,XB,2003.0,Racing,Encore,0.01,0.0,0.0,0.0,0.01
2210,MVP Baseball 2005,XB,2005.0,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94
4800,WipeOut 3 The Game,Wii,2012.0,Action,Activision,0.38,0.0,0.0,0.03,0.4
372,Resident Evil 5,X360,2009.0,Action,Capcom,2.11,0.94,0.12,0.34,3.51
14858,The King of Fighters: Maximum Impact - Maniax,XB,,Fighting,Unknown,0.02,0.01,0.0,0.0,0.03
5744,Armored Core: Silent Line,PS2,2003.0,Simulation,Agetec,0.07,0.06,0.16,0.02,0.31
1678,Ganbare Goemon! Karakuri Douchuu,NES,1986.0,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
5806,Fate/Extra,PSP,2010.0,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.02,0.31
1233,The Simpsons Skateboarding,PS2,2002.0,Sports,Electronic Arts,0.36,0.9,0.0,0.27,1.52
